,id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated_x,quote,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated_y
0,1,Bitcoin,BTC,bitcoin,9846,2013-04-28T00:00:00.000Z,21000000.0,19209112.0,19209112.0,1,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 16504.62571732081, 'volume_24h': 34275470341.203785, 'volume_change_24h': -10.8342, 'percent_change_1h': -0.56488587, 'percent_change_24h': -1.70927856, 'percent_change_7d': -2.12384046, 'percent_change_30d': -15.37843524, 'percent_change_60d': -17.56180692, 'percent_change_90d': -29.46382952, 'market_cap': 317039203922.09576, 'market_cap_dominance': 38.3315, 'fully_diluted_market_cap': 346597140063.74, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",16504.62571732081,34275470341.203785,-10.8342,-0.56488587,-1.70927856,-2.12384046,-15.37843524,-17.56180692,-29.46382952,317039203922.09576,38.3315,346597140063.74,,2022-11-16T19:24:00.000Z
1,1027,Ethereum,ETH,ethereum,6201,2015-08-07T00:00:00.000Z,,122373866.2178,122373866.2178,2,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 1205.3284622616748, 'volume_24h': 12054926374.930193, 'volume_change_24h': -1.8285, 'percent_change_1h': -0.81641717, 'percent_change_24h': -3.44652273, 'percent_change_7d': 1.47374628, 'percent_change_30d': -8.72996456, 'percent_change_60d': -17.6238075, 'percent_change_90d': -35.57750134, 'market_cap': 147500703989.3168, 'market_cap_dominance': 17.8335, 'fully_diluted_market_cap': 147500703989.32, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",1205.3284622616748,12054926374.930193,-1.8285,-0.81641717,-3.44652273,1.47374628,-8.72996456,-17.6238075,-35.57750134,147500703989.3168,17.8335,147500703989.32,,2022-11-16T19:24:00.000Z
2,825,Tether,USDT,tether,42231,2015-02-25T00:00:00.000Z,,66058586035.334526,73141766321.23428,3,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 0.9992708114218368, 'volume_24h': 46245319511.82471, 'volume_change_24h': -8.2837, 'percent_change_1h': 0.00049876, 'percent_change_24h': 0.00999789, 'percent_change_7d': 0.02491157, 'percent_change_30d': -0.08114112, 'percent_change_60d': -0.07727885, 'percent_change_90d': -0.07926437, 'market_cap': 66010416868.90795, 'market_cap_dominance': 7.9832, 'fully_diluted_market_cap': 73088432180.65, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",0.9992708114218368,46245319511.82471,-8.2837,0.00049876,0.00999789,0.02491157,-0.08114112,-0.07727885,-0.07926437,66010416868.90795,7.9832,73088432180.65,,2022-11-16T19:24:00.000Z
3,3408,USD Coin,USDC,usd-coin,6983,2018-10-08T00:00:00.000Z,,44476545568.78103,44476545568.78103,4,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 1.0001311358842415, 'volume_24h': 3921128837.1848226, 'volume_change_24h': 19.8384, 'percent_change_1h': -0.01082412, 'percent_change_24h': -0.01589651, 'percent_change_7d': -0.04087236, 'percent_change_30d': 0.0097216, 'percent_change_60d': 0.00130505, 'percent_change_90d': 0.00289787, 'market_cap': 44482378039.9122, 'market_cap_dominance': 5.3781, 'fully_diluted_market_cap': 44482378039.91, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",1.0001311358842415,3921128837.1848226,19.8384,-0.01082412,-0.01589651,-0.04087236,0.0097216,0.00130505,0.00289787,44482378039.9122,5.3781,44482378039.91,,2022-11-16T19:24:00.000Z
4,1839,BNB,BNB,bnb,1137,2017-07-25T00:00:00.000Z,200000000.0,159973888.33881608,159979963.59042934,5,,,,2022-11-16T19:23:00.000Z,"{'USD': {'price': 270.487714283255, 'volume_24h': 916526102.0262506, 'volume_change_24h': -21.1514, 'percent_change_1h': -0.84687117, 'percent_change_24h': -2.03638537, 'percent_change_7d': -4.85556929, 'percent_change_30d': -1.56147066, 'percent_change_60d': -2.82408147, 'percent_change_90d': -10.98236386, 'market_cap': 43270971401.77102, 'market_cap_dominance': 5.2331, 'fully_diluted_market_cap': 54097542856.65, 'tvl': None, 'last_updated': '2022-11-16T19:23:00.000Z'}}",270.487714283255,916526102.0262506,-21.1514,-0.84687117,-2.03638537,-4.85556929,-1.56147066,-2.82408147,-10.98236386,43270971401.77102,5.2331,54097542856.65,,2022-11-16T19:23:00.000Z
5,4687,Binance USD,BUSD,binance-usd,5500,2019-09-20T00:00:00.000Z,,23184799855.609257,23184799855.609257,6,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 1.0003203378353027, 'volume_24h': 7393483535.826879, 'volume_change_24h': -12.3133, 'percent_change_1h': -0.03041828, 'percent_change_24h': 0.00658263, 'percent_change_7d': -0.02079803, 'percent_change_30d': 0.00905309, 'percent_change_60d': -0.00730824, 'percent_change_90d': 0.01404068, 'market_cap': 23192226824.20693, 'market_cap_dominance': 2.804, 'fully_diluted_market_cap': 23192226824.21, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",1.0003203378353027,7393483535.826879,-12.3133,-0.03041828,0.00658263,-0.02079803,0.00905309,-0.00730824,0.01404068,23192226824.20693,2.804,23192226824.21,,2022-11-16T19:24:00.000Z
6,52,XRP,XRP,xrp,844,2013-08-04T00:00:00.000Z,100000000000.0,50232406634.0,99989224981.0,7,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 0.368620822449308, 'volume_24h': 1350045253.2886436, 'volume_change_24h': -42.6568, 'percent_change_1h': -0.41336585, 'percent_change_24h': -3.61444357, 'percent_change_7d': 4.20091532, 'percent_change_30d': -21.9560387, 'percent_change_60d': -2.18488248, 'percent_change_90d': -2.56996775, 'market_cap': 18516711047.033154, 'market_cap_dominance': 2.2394, 'fully_diluted_market_cap': 36862082244.93, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",0.368620822449308,1350045253.2886436,-42.6568,-0.41336585,-3.61444357,4.20091532,-21.9560387,-2.18488248,-2.56996775,18516711047.033154,2.2394,36862082244.93,,2022-11-16T19:24:00.000Z
7,2010,Cardano,ADA,cardano,591,2017-10-01T00:00:00.000Z,45000000000.0,34408861476.751,35138883455.092,8,,,,2022-11-16T19:23:00.000Z,"{'USD': {'price': 0.32835524977505665, 'volume_24h': 280542295.1076717, 'volume_change_24h': -15.8085, 'percent_change_1h': -0.572257, 'percent_change_24h': -2.01991622, 'percent_change_7d': -4.12017099, 'percent_change_30d': -11.46044905, 'percent_change_60d': -31.83086653, 'percent_change_90d': -38.06855845, 'market_cap': 11298330304.673899, 'market_cap_dominance': 1.366, 'fully_diluted_market_cap': 14775986239.88, 'tvl': None, 'last_updated': '2022-11-16T19:23:00.000Z'}}",0.32835524977505665,280542295.1076717,-15.8085,-0.572257,-2.01991622,-4.12017099,-11.46044905,-31.83086653,-38.06855845,11298330304.673899,1.366,14775986239.88,,2022-11-16T19:23:00.000Z
8,74,Dogecoin,DOGE,dogecoin,598,2013-12-15T00:00:00.000Z,,132670764299.89409,132670764299.89409,9,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 0.08464130263680801, 'volume_24h': 711360838.3537173, 'volume_change_24h': 3.255, 'percent_change_1h': -0.53523448, 'percent_change_24h': -2.14899522, 'percent_change_7d': 3.45871776, 'percent_change_30d': 42.26378858, 'percent_change_60d': 37.47523206, 'percent_change_90d': 7.9690704, 'market_cap': 11229426312.16396, 'market_cap_dominance': 1.3577, 'fully_diluted_market_cap': 11229426312.16, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",0.08464130263680801,711360838.3537173,3.255,-0.53523448,-2.14899522,3.45871776,42.26378858,37.47523206,7.9690704,11229426312.16396,1.3577,11229426312.16,,2022-11-16T19:24:00.000Z
9,3890,Polygon,MATIC,polygon,525,2019-04-28T00:00:00.000Z,10000000000.0,8734317475.28493,10000000000.0,10,,,,2022-11-16T19:23:00.000Z,"{'USD': {'price': 0.8907300317036383, 'volume_24h': 475165289.54684323, 'volume_change_24h': -32.0317, 'percent_change_1h': -0.60414308, 'percent_change_24h': -6.1424679, 'percent_change_7d': 5.7962928, 'percent_change_30d': 6.89515203, 'percent_change_60d': 8.34935871, 'percent_change_90d': -0.23578452, 'market_cap': 7779918881.670187, 'market_cap_dominance': 0.9406, 'fully_diluted_market_cap': 8907300317.04, 'tvl': None, 'last_updated': '2022-11-16T19:23:00.000Z'}}",0.8907300317036383,475165289.54684323,-32.0317,-0.60414308,-6.1424679,5.7962928,6.89515203,8.34935871,-0.23578452,7779918881.670187,0.9406,8907300317.04,,2022-11-16T19:23:00.000Z
10,6636,Polkadot,DOT,polkadot-new,427,2020-08-19T00:00:00.000Z,,1138170198.834361,1251800707.415064,11,904869778.0,5134245885.694871,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 5.674016317621861, 'volume_24h': 165966173.46586895, 'volume_change_24h': -1.6306, 'percent_change_1h': -0.51721023, 'percent_change_24h': -4.42226541, 'percent_change_7d': -4.86903057, 'percent_change_30d': -8.6914922, 'percent_change_60d': -20.13328926, 'percent_change_90d': -32.43405636, 'market_cap': 6457996280.417083, 'market_cap_dominance': 0.7807, 'fully_diluted_market_cap': 7102737640.28, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",5.674016317621861,165966173.46586895,-1.6306,-0.51721023,-4.42226541,-4.86903057,-8.6914922,-20.13328926,-32.43405636,6457996280.417083,0.7807,7102737640.28,,2022-11-16T19:24:00.000Z
11,4943,Dai,DAI,multi-collateral-dai,1546,2019-11-22T00:00:00.000Z,,5886669483.690341,5886669483.690341,12,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 1.0004104030250562, 'volume_24h': 455512835.9940039, 'volume_change_24h': 31.4874, 'percent_change_1h': -0.00877919, 'percent_change_24h': -0.04248111, 'percent_change_7d': -0.01304343, 'percent_change_30d': 0.09865019, 'percent_change_60d': 0.03794693, 'percent_change_90d': 0.02872608, 'market_cap': 5889085390.653954, 'market_cap_dominance': 0.7122, 'fully_diluted_market_cap': 5889085390.65, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",1.0004104030250562,455512835.9940039,31.4874,-0.00877919,-0.04248111,-0.01304343,0.09865019,0.03794693,0.02872608,5889085390.653954,0.7122,5889085390.65,,2022-11-16T19:24:00.000Z
12,5426,Solana,SOL,solana,402,2020-04-10T00:00:00.000Z,,362266510.5204831,533682587.3525266,13,,,,2022-11-16T19:24:00.000Z,"{'USD': {'price': 14.122513997636245, 'volume_24h': 506116392.50519776, 'volume_change_24h': -42.9095, 'percent_change_1h': -0.09257656, 'percent_change_24h': -0.76625825, 'percent_change_7d': -1.49438155, 'percent_change_30d': -54.02437285, 'percent_change_60d': -57.42609701, 'percent_change_90d': -65.50645416, 'market_cap': 5116113865.70036, 'market_cap_dominance': 0.6187, 'fully_diluted_market_cap': 7536939810.18, 'tvl': None, 'last_updated': '2022-11-16T19:24:00.000Z'}}",14.122513997636245,506116392.50519776,-42.9095,-0.09257656,-0.76625825,-1.49438155,-54.02437285,-57.42609701,-65.50645416,5116113865.70036,0.6187,7536939810.18,,2022-11-16T19:24:00.000Z
